Welcher Sport wird oft als Nationalsport von Deutschland betrachtet?,"Fußball,Tennis,Eishockey,Basketball",Fußball,2,Sport
"Welches Tennisturnier in Deutschland gilt als das angesehenste, das jährlich stattfindet?","Wimbledon,Australian Open,Australian Open,German Open (Deutsche Bank Open)",German Open (Deutsche Bank Open),2,Sport
Welcher deutsche Sportler ist für seine rekordverdächtigen Leistungen im Formel-1-Rennen bekannt?," Sebastian Vettel,Michael Schumacher,Nico Rosberg,Lewis Hamilton",Michael Schumacher,2,Sport
Welche Stadt war Gastgeber der Olympischen Sommerspiele 1972 in Deutschland?,"Berlin,München,Frankfurt,Hamburg",Frankfurt,1,Sport
Welcher Wintersport ist in der bayerischen Alpenregion Deutschlands besonders beliebt?,"Eiskunstlauf,Skifahren,Snowboarden,Curling",Skifahren,1,Sport
"Welche deutsche Stadt ist für ihren jährlichen Marathon bekannt, der Läufer aus der ganzen Welt anzieht?","Berlin,München,Frankfurt,Hamburg",Berlin,1,Sport
Welche Sportart beinhaltet das Schießen von Pfeilen auf ein Ziel und wird von vielen Deutschen ausgeübt?,"Bogenschießen,Fechten,Judo,Tischtennis",Bogenschießen,1,Sport
Welcher deutsche Tennisspieler hat die meisten Grand-Slam-Singletitel in der Geschichte gewonnen?,"Steffi Graf,Boris Becker,Angelique Kerber,Alexander Zverev",Steffi Graf,3,Sport
Welche Sportart hat eine starke kulturelle Bedeutung in Deutschland und beinhaltet das Werfen eines schweren Metallballs?,"Kugelstoßen,Diskuswurf,Hammerwurf,Speerwurf",Hammerwurf,1,Sport
Welcher deutsche Sportverein ist einer der erfolgreichsten und bekanntesten Fußballvereine der Welt?," Bayern München,Borussia Dortmund,Hamburg SV,Hertha BSC", Bayern München,1,Sport
Welche Stadt ist für ihr berühmtes Oktoberfest-Bierfest bekannt?,"München,Berlin,Hamburg,Frankfurt",München,2,Deutsche Städte
Welche Stadt gilt als das Finanzzentrum Deutschlands und beherbergt die Europäische Zentralbank?,"Berlin,München,Frankfurt,Hamburg",Frankfurt,2,Deutsche Städte
"Welche Stadt ist bekannt für ihr historisches Wahrzeichen, das Brandenburger Tor?","Berlin,München,Köln,Hamburg",Berlin,2,Deutsche Städte
Welche Stadt ist berühmt für ihre malerischen Kanäle und lebendiges Nachtleben?,"Berlin,München,Köln,Hamburg",Hamburg,2,Deutsche Städte
"Welche Stadt ist für ihre ikonische gotische Kathedrale, den Kölner Dom, bekannt?","Berlin,München,Köln,Hamburg",Köln,2,Deutsche Städte
"Welche Stadt wird aufgrund ihrer eleganten Boulevards und reichen Kulturszene oft als ""Klein-Paris"" bezeichnet?","München,Berlin,Hamburg,Frankfurt",Frankfurt,1,Deutsche Städte
"Welche Stadt ist für ihre historische und gut erhaltene mittelalterliche Altstadt, die Altstadt, bekannt?","München,Berlin,Hamburg,Heidelberg",Heidelberg,1,Deutsche Städte
Welche Stadt liegt am Ufer der Elbe und ist für ihre beeindruckende Architektur und maritime Tradition bekannt?,"Berlin,München,Frankfurt,Hamburg",Hamburg,1,Deutsche Städte
"Welche Stadt beherbergt das berühmte Schloss Neuschwanstein, ein märchenhaftes Schloss, das Disney's Dornröschenschloss inspirierte?","Berlin,München,Füssen,Hamburg",Füssen,1,Deutsche Städte
"Welche Stadt ist für ihre lebhafte Kunst- und Musikszene bekannt, einschließlich des jährlichen Wagner-Festivals?","Berlin,Bayreuth,Füssen,Hamburg",Bayreuth,1,Deutsche Städte
Welcher traditionelle deutsche Volkstanz beinhaltet das Drehen und Wirbeln von Paaren in einer kreisförmigen Formation?,"Polka,Walzer,Schuhplattler,Rheinländer",Schuhplattler,2,Deutsch Traditionell
Mit welchem traditionellen deutschen Musikinstrument wird oft das Oktoberfest in Verbindung gebracht?,"Alphorn,Akkordeon,Hackbrett,Dudelsack",Akkordeon,2,Deutsch Traditionell
"Was ist die traditionelle Kleidung für Männer in Bayern, Deutschland?","Lederhosen,Dirndl,Tracht,Holzpantinen",Lederhosen,1,Deutsch Traditionell
"Welches traditionelle deutsche Fest ist für seine bunten Umzüge, farbenfrohen Kostüme und aufwändigen Wagen bekannt?","Oktoberfest,Weihnachtsmarkt,Karneval,Ostern",Karneval,1,Deutsch Traditionell
"Was ist das traditionelle deutsche Brot aus Roggenmehl, das oft durch seine dunkle Farbe und dichte Textur gekennzeichnet ist?","Brezel,Brötchen,Stollen,Pumpernickel",Pumpernickel,2,Deutsch Traditionell
Welcher traditionelle deutsche Feiertag markiert den Beginn der Weihnachtszeit und beinhaltet das Anzünden von Kerzen auf einem Adventskranz?,"Nikolaustag,Epiphanias,Ostern,Advent",Advent,2,Deutsch Traditionell
"Welche traditionelle deutsche Speise besteht aus gekochten und zerdrückten Kartoffeln, Kohl und verschiedenen Fleischsorten?","Sauerkraut,Bratwurst,Sauerbraten,Kartoffelknödel",Sauerbraten,2,Deutsch Traditionell
"Welcher traditionelle deutsche Bierstil ist bekannt für seine dunkle Farbe, malzigen Geschmack und Röstnoten?","Pilsner,Hefeweizen,Märzen,Dunkel",Dunkel,1,Deutsch Traditionell
"Was ist das traditionelle deutsche Dessert, das oft während der Weihnachtszeit gegessen wird und aus einem Hefeteig mit Rosinen besteht?","Schwarzwälder Kirschtorte,Apfelstrudel,Lebkuchen,Stollen",Stollen,1,Deutsch Traditionell
Welches traditionelle deutsche Fest wird mit einem großen Feuerwerk am Abend des 31. Dezember gefeiert?,"Oktoberfest,Weihnachtsmarkt,Karneval,Silvester",Silvester,1,Deutsch Traditionell
